region,field_id,label,anchor_field,enclave_family,type_discovery_label,car_trip_stack_signal,profile_basis,comparison_tier
philadelphia,king-of-prussia,King of Prussia field,suburban_edge_city_superregional_mall_field,mall_led_regional_field,mall_led_edge_city_costco_town_center_field,light_service_node_car_trip_support,pre_scale_5_layer_stack_with_sidecars,type_discovery_partial
atlanta,decatur-emory,Decatur / Emory field,inner_service_village,neighborhood_everyday_service,finance_car_trip_health_service_village,stack_not_field_aligned,full_11_dimension_context,type_discovery_partial
chicago,lincoln-park-lakeview,Lincoln Park / Lakeview field,inner_neighborhood_service_field,neighborhood_everyday_service,inner_neighborhood_everyday_grid,food_forward_daily_trip_field,pre_scale_6_layer_stack,type_discovery_comparable
dallas,fort-worth-west-7th,Fort Worth Cultural / West 7th field,secondary_core_service_field,office_river_secondary_core_field,secondary_core_grocery_health_big_box_plaza_field,light_car_trip_support_core_field,pre_scale_5_layer_stack,type_discovery_comparable
dallas,las-colinas-irving,Las Colinas / Irving field,airport_office_edge_field,office_river_secondary_core_field,office_edge_grocery_health_complex_field,gas_highway_car_trip_grid_auto_service_light,pre_scale_5_layer_stack,type_discovery_comparable
philadelphia,conshohocken-plymouth-meeting,Conshohocken / Plymouth Meeting field,river_office_suburban_edge_field,office_river_secondary_core_field,river_office_mall_grocery_health_service_node,light_service_node_car_trip_support,pre_scale_5_layer_stack_with_sidecars,type_discovery_comparable
washington,factoria,Bellevue Factoria field,,open_space_transit_service_field,postal_car_trip_open_space_service_field,stack_not_field_aligned,full_11_dimension_context,baseline_comparable
dallas,arlington-grand-prairie,Arlington / Grand Prairie field,midcities_power_event_field,port_event_industrial_civic_field,midcities_grocery_health_big_box_complex_field,combined_daily_trip_auto_service_car_trip_grid,pre_scale_5_layer_stack,type_discovery_comparable
los_angeles,long-beach-lakewood,Long Beach / Lakewood field,port_coastal_grid_mall_service_field,port_event_industrial_civic_field,confirmed_mall_big_box_grocery_health_field,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack,type_discovery_comparable
philadelphia,south-philly-sports-port,South Philadelphia Sports / Port field,event_port_auto_service_field,port_event_industrial_civic_field,event_port_plaza_grocery_qsr_auto_service_field,combined_car_oriented_retail_corridor,pre_scale_5_layer_stack_with_sidecars,type_discovery_comparable
washington,bellevue-core,Bellevue core mall field,,urban_civic_rail_core,downtown_civic_finance_wellness_grid,stack_not_field_aligned,full_11_dimension_context,baseline_comparable
washington,kitsap-mall,Kitsap Mall / Silverdale field,,urban_civic_rail_core,civic_finance_car_trip_mall_field,stack_not_field_aligned,full_11_dimension_context,baseline_comparable
washington,southcenter-tukwila,Southcenter / Tukwila mall field,,urban_civic_rail_core,mall_civic_car_trip_small_trade_field,stack_not_field_aligned,full_11_dimension_context,baseline_comparable
atlanta,buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,urban_civic_rail_core,civic_open_space_small_trade_mall_field,stack_not_field_aligned,full_11_dimension_context,type_discovery_partial
chicago,loop-river-north,Loop / River North field,urban_core_mixed_service_field,urban_civic_rail_core,urban_core_everyday_grid,food_forward_daily_trip_field,pre_scale_6_layer_stack,type_discovery_comparable
dallas,downtown-uptown-dallas,Downtown / Uptown Dallas field,urban_core_mixed_service_field,urban_civic_rail_core,urban_postal_grocery_health_big_box_village_field,food_forward_daily_trip_field,pre_scale_5_layer_stack,type_discovery_comparable
los_angeles,downtown-koreatown-midwilshire,Downtown LA / Koreatown / Mid-Wilshire field,urban_core_mixed_service_field,urban_civic_rail_core,confirmed_dense_postal_target_grocery_health_complex,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack,type_discovery_comparable
philadelphia,camden-waterfront,Camden Waterfront / Cooper field,older_industrial_river_civic_field,urban_civic_rail_core,older_industrial_river_civic_single_grocery_service_field,light_service_node_car_trip_support,pre_scale_5_layer_stack_with_sidecars,type_discovery_partial
philadelphia,center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,urban_civic_rail_core,dense_rail_civic_grocery_health_target_district_field,gas_car_trip_corridor_food_light,pre_scale_5_layer_stack_with_sidecars,type_discovery_comparable
philadelphia,university-city-30th-street,University City / 30th Street field,eds_meds_rail_service_field,urban_civic_rail_core,eds_meds_rail_grocery_health_district_field,gas_car_trip_corridor_food_light,pre_scale_5_layer_stack_with_sidecars,type_discovery_comparable
