primary_city,state,sparse_chain_stack,packet_ready_rows,sample_brand,sample_store_name,sample_store_id,sample_address,sample_postal_code,sample_latitude,sample_longitude,source,source_date,license_status,review_status,candidate_note
Prospect Heights,IL,grocery,1,ALDI,Aldi,acbe0028-61fc-4c1a-93ae-ef62767b39c4,1432 N Rand Rd,60004,42.10219192504883,-87.96639251708984,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Stickney,IL,grocery,1,Jewel-Osco,Jewel-Osco,d79fbd40-77fc-48b7-a05f-784994c6deca,7122 40th St,60402-4198,41.82047653198242,-87.80136108398438,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Western Springs,IL,grocery,1,Mariano's,Mariano's,521bdeb2-f708-42d4-b281-750f2f29b6e7,4700 Gilbert Ave,60558-1600,41.804073333740234,-87.89108276367188,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Wilmette,IL,grocery,2,Jewel-Osco,Jewel-Osco,2a18f82e-5bf0-4b5d-b6a5-498dbbfd5994,411 Green Bay Rd,60091,42.0727424621582,-87.70633697509766,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Henry,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,11db99c3-1d05-487d-b3c5-b8b072554767,808 University Ave,61537-1062,41.112083435058594,-89.36872863769531,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Lincolnwood,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,7e52ea5b-b963-4dac-b79f-9aaf8e299611,3950 W Devon Ave,60712-1043,41.99760818481445,-87.7283706665039,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Long Grove,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,ac20d8f3-9727-4b6d-b3ad-54434978a16b,4186 IL Route 83,60047,42.18020248413086,-87.98883819580078,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Riverdale,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,f5c1d12a-5fad-469f-9cb9-bf5082923467,250 W 144th St,60827-2733,41.63300704956055,-87.62862396240234,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Round Lake,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,4bbb0abd-cd1e-4bd3-8e65-e7735164fc85,1229 W IL-134,60073-9725,42.363182067871094,-88.11253356933594,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Saint Charles,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,f3313a2a-933a-483e-932c-3928cadca3b0,3885 E Main St Saint Charles,60174,41.91817855834961,-88.26421356201172,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Staunton,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,c05dcfe8-1612-45c2-bd5d-b52de13e9ab2,506 E Main St,62088-1561,39.01182174682617,-89.7824478149414,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Third Lake,IL,pharmacy,1,CVS Pharmacy,CVS Pharmacy,efade4ef-8eff-46a3-b1b8-c230f714b833,34344 N US Highway 45,60030-4031,42.36109161376953,-88.00100708007812,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois pharmacy-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Albion,IL,qsr,1,McDonald's,McDonald's,6b79e6c8-0ebe-4f42-98d0-196506c7eac8,40 W Main St,62806-1031,38.377403259277344,-88.05973052978516,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Altamont,IL,qsr,1,McDonald's,McDonald's,ee2a171c-d465-4357-881e-b563937ff335,1010 S Main St,62411,39.04754638671875,-88.7485580444336,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Arcola,IL,qsr,1,McDonald's,McDonald's,0b448aa0-a8f4-47cc-8229-269627a1e832,550 E Springfield Rd,61910-1801,39.680728912353516,-88.2977523803711,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Bannockburn,IL,qsr,1,McDonald's,McDonald's,280d4a47-93da-469f-99c3-74008bf01999,2587 Waukegan Rd,60015-1569,42.19902038574219,-87.86158752441406,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Beach Park,IL,qsr,1,McDonald's,McDonald's,bf1a9cf1-3574-4dfb-9011-9d3e9f866978,39082 N Sheridan Rd,60099-3787,42.429317474365234,-87.82634735107422,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Beecher,IL,qsr,1,McDonald's,McDonald's,b6f39b11-92cf-478f-a473-2cdac1522c54,901 Dixie Hwy,60401-3781,41.348480224609375,-87.62066650390625,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Berkeley,IL,qsr,1,McDonald's,McDonald's,7c7a3a53-2d89-4273-84e3-054168a08f40,5707 St Charles Rd,60163-1113,41.889015197753906,-87.91091918945312,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Braidwood,IL,qsr,1,McDonald's,McDonald's,99f3a2cb-6895-4352-a1a2-b4942cfd0cc2,285 N Front St,60408-1734,41.26564407348633,-88.20852661132812,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Breese,IL,qsr,1,McDonald's,McDonald's,652dcb17-04d9-41b5-9685-e82496b9a2e2,681 N 12th St,62230,38.6199836730957,-89.5264892578125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Byron,IL,qsr,1,McDonald's,McDonald's,6cefd5fe-4d2c-42e4-b0f9-5da14fa2c4e6,105 N Union St,61010-8633,42.12567901611328,-89.25556945800781,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Carterville,IL,qsr,1,McDonald's,McDonald's,32304f7c-04c0-40ba-8c06-f8c0b2e9feb7,400 E Plaza Dr,62918-1983,37.746826171875,-89.072265625,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Casey,IL,qsr,1,McDonald's,McDonald's,a540d4b9-4e12-49c6-8bcd-9d3cc3d12535,940 N Route 49,62420-1454,39.31623840332031,-87.98417663574219,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Caseyville,IL,qsr,2,McDonald's,McDonald's,435e7342-8a0d-48b6-8918-09aedc29d070,1 Rauckman Dr,62232-2322,38.61311721801758,-90.04574584960938,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Channahon,IL,qsr,2,McDonald's,McDonald's,7ce62f6d-9170-41ba-9332-565263349956,26953 W Eames St,60410-5601,41.41819763183594,-88.26467895507812,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Chatham,IL,qsr,1,McDonald's,McDonald's,3c05444f-672d-401d-9354-7dfee9a5a0f5,490 N Main St,62629-1701,39.678375244140625,-89.70405578613281,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Chenoa,IL,qsr,1,McDonald's,McDonald's,f3255131-0e81-45fd-a057-477034c9daa5,504 Hoselton Dr,61726-8718,40.74213409423828,-88.73265075683594,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Country Club Hills,IL,qsr,1,McDonald's,McDonald's,67ddc1f3-6299-472a-a509-589543ed4e6c,4239 167th St,60478-2017,41.58564376831055,-87.7198486328125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Crete,IL,qsr,3,Burger King,Burger King,ba0055ca-9970-41fe-85a0-ca9544ec4297,1326 E Steger Rd,60417,41.46997833251953,-87.5799789428711,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Dwight,IL,qsr,1,McDonald's,McDonald's,6acf8142-d468-48c8-99ee-e4b32287dff9,13 E Northbrook Dr,60420,41.11248016357422,-88.41239166259766,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
East Alton,IL,qsr,2,McDonald's,McDonald's,c59b34cd-aa05-4785-9382-4f9cda442e50,102 Niagara Ave,62024-1032,38.882713317871094,-90.12074279785156,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
East Dundee,IL,qsr,1,Wendy's,Wendy's,36afdf21-22a4-41a0-a379-c1a6e7890b92,622 IL-25,60118-3010,42.090354919433594,-88.25731658935547,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Eldorado,IL,qsr,1,McDonald's,McDonald's,90c6f84a-4080-4e17-9548-8efe293732bc,Il Rt 142 & Ushy 45,62930,37.80668640136719,-88.44021606445312,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Farmington,IL,qsr,1,McDonald's,McDonald's,ac83ee0e-37d0-4481-9a99-64471ad4a8d4,1008 E Fort St,61531-9572,40.69742202758789,-89.98941040039062,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Forsyth,IL,qsr,2,McDonald's,McDonald's,832e5c4f-fee9-49bf-8452-9b072a23ad26,109 Lucile Ave,62535-9651,39.919227600097656,-88.95469665527344,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Galena,IL,qsr,1,McDonald's,McDonald's,9669875a-f02c-4c95-ba81-31a5a2e58f14,957 Gear St,61036,42.42401123046875,-90.44320678710938,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Georgetown,IL,qsr,1,McDonald's,McDonald's,c9a765ab-1658-42b8-8c07-6cf3ec29c880,502 N Main St,61846-1712,39.979400634765625,-87.63639068603516,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Gibson City,IL,qsr,1,McDonald's,McDonald's,7f7f947f-e3a7-4ceb-9001-78b1d164d57a,801 S Sangamon Ave,60936-1746,40.45659637451172,-88.37612915039062,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Gilman,IL,qsr,2,Burger King,Burger King,95d10b57-efb2-40c2-81c5-d3ea0f7619cb,725 US-24,60938,40.75124740600586,-87.99996948242188,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Great Lakes,IL,qsr,1,McDonald's,McDonald's,9558fa32-8cea-40ba-9269-8a825d1e1b2c,2601 Paul Jones St,60088-2834,42.31892395019531,-87.83529663085938,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Hamel,IL,qsr,1,McDonald's,McDonald's,d7078eda-ae9f-469f-8add-6b052bcdc90f,9191 State Route 140,62046-1098,38.88998794555664,-89.83483123779297,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Hampshire,IL,qsr,2,McDonald's,McDonald's,3fe94268-632c-496c-a88a-2150f10340de,19N649 US Highway 20,60140,42.14878845214844,-88.51136779785156,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Hawthorn Woods,IL,qsr,1,McDonald's,McDonald's,d3ccc681-d463-4d0f-83f6-00d304aae0a5,123 Quentin Rd,60047-1700,42.198665618896484,-88.0586929321289,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Highwood,IL,qsr,1,McDonald's,McDonald's,cfa58937-5654-49cb-96e5-9cb5cf7de755,894 Sheridan Rd,60040-1003,42.21535110473633,-87.81895446777344,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Hillside,IL,qsr,2,McDonald's,McDonald's,be0abd49-727b-4e17-b8d7-d9fa54235daa,4012 Roosevelt Rd,60162-1824,41.863582611083984,-87.8835678100586,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Ina,IL,qsr,1,McDonald's,McDonald's,a4e2c249-caa6-4663-b9d3-44e7d22a34c8,202 North Ave,62846,38.15547180175781,-88.91093444824219,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Itasca,IL,qsr,2,McDonald's,McDonald's,daae9580-36bc-4d71-9d78-eb9d1b7dcba4,1301 E Irving Park Rd,60143-2300,41.96687316894531,-87.99771118164062,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Johnston City,IL,qsr,1,McDonald's,McDonald's,4336ced5-47db-445f-822f-f8ae3c5c7eee,808 Grand Ave,62951-1209,37.81843566894531,-88.93285369873047,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Knoxville,IL,qsr,1,McDonald's,McDonald's,30a5be7b-e072-4961-b9fb-99f7583b2cc0,743 Knox Hwy 10,61448,40.91928482055664,-90.29666137695312,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Lake Villa,IL,qsr,1,McDonald's,McDonald's,66f83352-c6e3-4382-8acf-41d4449de18f,431 E Grand Ave,60046-7810,42.41519546508789,-88.071533203125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Lakemoor,IL,qsr,1,Taco Bell,Taco Bell,f760c34f-6293-41e7-a0be-5d0758f223e7,27625 W IL-120,60051-8003,42.32200622558594,-88.17041778564453,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Le Roy,IL,qsr,1,McDonald's,McDonald's,34da13b1-6990-4155-89ee-009924cd3d39,300 Sunset Dr,61752,40.34206771850586,-88.76229095458984,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Lebanon,IL,qsr,1,McDonald's,McDonald's,17c08350-d4fd-4eda-abe9-0750802183ec,713 S Madison St,62254-1593,38.59685516357422,-89.808349609375,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Lincolnshire,IL,qsr,2,McDonald's,McDonald's,97cbdffe-398e-46ec-82f0-58b1273fe4e3,450 Milwaukee Ave,60069-3046,42.198211669921875,-87.93299865722656,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Manhattan,IL,qsr,1,McDonald's,McDonald's,0493726a-4e6b-4522-b3fd-758def0a9ad3,440 E North St,60442-9245,41.429996490478516,-87.99334716796875,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Mclean,IL,qsr,1,McDonald's,McDonald's,94975a06-9570-4c61-9f58-a8a2ed9d00a6,400 S Main St,61754-7669,40.3123893737793,-89.16731262207031,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Mcleansboro,IL,qsr,1,McDonald's,McDonald's,6a6d0451-46b4-4eec-a606-371fc4f546f4,500 W Randolph St,62859-1282,38.08973693847656,-88.5431137084961,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Mettawa,IL,qsr,1,McDonald's,McDonald's,0ff1b07e-32a1-41eb-ac1d-7f870ee82552,I-94 Lake Forest Oasis,60045,42.25309371948242,-87.90184783935547,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Monticello,IL,qsr,1,McDonald's,McDonald's,8dd16a46-760d-4e1f-a856-6d34c15db9f6,306 S Market St,61856-1867,40.02388000488281,-88.57425689697266,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Morrison,IL,qsr,1,McDonald's,McDonald's,69ed389e-8539-4a0a-a482-7b509ed8acda,606 E Lincolnway Rd,61270-2977,41.8074836730957,-89.95629119873047,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Mt Sterling,IL,qsr,1,McDonald's,McDonald's,8f00bfdc-a14b-4a97-b947-87c350455eb2,418 E Main St,62353-1332,39.98322677612305,-90.75736999511719,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Nashville,IL,qsr,1,McDonald's,McDonald's,24c01c42-9536-49dd-825f-1a059858ba8f,11792 IL-127,62263,38.38568878173828,-89.3718032836914,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
New Baden,IL,qsr,1,McDonald's,McDonald's,b06a469c-1f38-416f-af59-e21c5764ce0a,727 W Hanover St,62265,38.53483200073242,-89.72090911865234,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Norridge,IL,qsr,1,Burger King,Burger King,7c51a4d5-6aee-4c4b-a16e-d7ca2da2cc70,4330 N Harlem Ave,60706,41.95866012573242,-87.8076171875,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
North Pekin,IL,qsr,1,McDonald's,McDonald's,bbd0e04f-2907-4b02-ae57-011412641358,1200 Wesley Rd,61554,40.626441955566406,-89.61841583251953,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
