target_id,primary_city,settlement_size_proxy,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,minimum_stack_class,candidate_next_action,claim_boundary
national-post-office-wy-lander-698949382b,Lander,2500_to_9999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-laramie-23c310eec4,Laramie,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-lusk-0f27ff42ff,Lusk,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-lyman-1d1e3a25dd,Lyman,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-mail-boxes-etc-3c204459de,Mail Boxes Etc.,10000_to_49999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-mail-boxes-etc-9b5c5b7976,Mail Boxes Etc.,10000_to_49999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-mammoth-springs-73eb6980b8,Mammoth Springs,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-manville-d10b6af109,Manville,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-mckinley-01b99ec89a,McKinley,2500_to_9999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-meriden-2c2d68f793,Meriden,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-meriden-3054b987cf,Meriden,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-moose-551eaac571,Moose,10000_to_49999,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-moose-fb4a47a95a,Moose,10000_to_49999,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-moosely-mail-52cbd0a071,Moosely Mail,under_2500,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-newcastle-0aeb551b79,Newcastle,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-osage-bcbd9997e3,Osage,2500_to_9999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-pinedale-ae0490e7c8,Pinedale,under_2500,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-0292d86b85,Postal Service,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-6f8bed97c6,Postal Service,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-85770420d7,Postal Service,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-921796525a,Postal Service,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-c5bdf32860,Postal Service,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-e23816a429,Postal Service,10000_to_49999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-e9a2086c00,Postal Service,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-f33e442d8c,Postal Service,2500_to_9999,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-f809a47e7a,Postal Service,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-postal-service-f8197738c3,Postal Service,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-powder-river-3c5dfc647e,Powder River,2500_to_9999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-ranchester-c4e43d0fee,Ranchester,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-riverton-40d74fbcbe,Riverton,10000_to_49999,observed,checked_absent,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-saratoga-3ccdccc3ae,Saratoga,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-sheridan-567830f9a6,Sheridan,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-smoot-07fdf6cb68,Smoot,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-the-ups-store-5dd49a85e5,The UPS Store,50000_plus,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-the-ups-store-e0d2144187,The UPS Store,50000_plus,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-the-ups-store-f03488d118,The UPS Store,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-thermopolis-a63759f7ea,Thermopolis,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-u-s-ccbdac0652,U.S.,10000_to_49999,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-u-s-f49751acf0,U.S.,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-0a55e011e9,Unknown,under_2500,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-386fab779e,Unknown,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-4de2fd379e,Unknown,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-4fb443ceaf,Unknown,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-5a1dc5d434,Unknown,under_2500,observed,observed,observed,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-bf72075f10,Unknown,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-c725e4aa5e,Unknown,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-e904292fce,Unknown,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-f155d8dd03,Unknown,2500_to_9999,observed,observed,checked_absent,checked_absent,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-unknown-ffad92b909,Unknown,10000_to_49999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-us-cc5b48a86f,US,under_2500,observed,checked_absent,checked_absent,checked_absent,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-us-dubois-wyoming-82513-4f48faf4da,"US , Dubois, Wyoming 82513",under_2500,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-us-e0cbd47345,US,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-wy-wheatland-2bb0f23466,Wheatland,2500_to_9999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
