city,state,layers_present,qsr,grocery,pharmacy,mass_retail,auto_parts,home_improvement,current_chain_stack,sample_layer,sample_brand,sample_store,sample_address,sample_latitude,sample_longitude,pilot_reason,post_office_status
Colquitt,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,401 W Crawford St,31.169775009155273,-84.73271179199219,Georgia qsr-only sparse chain signal,needs_fetch
Danielsville,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,32 Mama B Dr,34.12668991088867,-83.21903991699219,Georgia qsr-only sparse chain signal,needs_fetch
East Dublin,GA,1,1,0,0,0,0,0,qsr,qsr,McDonald's,McDonald's,739b Central Dr,32.54836654663086,-82.87345123291016,Georgia qsr-only sparse chain signal,needs_fetch
Emerson,GA,1,1,0,0,0,0,0,qsr,qsr,McDonald's,McDonald's,150 Old Allatoona Rd SE,34.11906814575195,-84.74346160888672,Georgia qsr-only sparse chain signal,needs_fetch
Fort Gordon,GA,1,2,0,0,0,0,0,qsr,qsr,Burger King,Burger King,Ft. Gordon Main,33.41420364379883,-82.13599395751953,Georgia qsr-only sparse chain signal,needs_fetch
Fort Moore,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,Ft. Benning Mall,32.375797271728516,-84.92335510253906,Georgia qsr-only sparse chain signal,needs_fetch
Fort Stewart,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,976 William H Wilson Ave,31.867053985595703,-81.61017608642578,Georgia qsr-only sparse chain signal,needs_fetch
Hapeville,GA,1,3,0,0,0,0,0,qsr,qsr,McDonald's,McDonald's,309 N Central Ave,33.65377426147461,-84.39805603027344,Georgia qsr-only sparse chain signal,needs_fetch
Helen,GA,1,1,0,0,0,0,0,qsr,qsr,Wendy's,Wendy's,8492 S Main St,34.70094299316406,-83.72803497314453,Georgia qsr-only sparse chain signal,needs_fetch
Hogansville,GA,1,3,0,0,0,0,0,qsr,qsr,Burger King,Burger King,1945 E Main St,33.158721923828125,-84.86631774902344,Georgia qsr-only sparse chain signal,needs_fetch
Kings Bay,GA,1,1,0,0,0,0,0,qsr,qsr,McDonald's,McDonald's,1310 USS Daniel Boone Ave,30.793193817138672,-81.57164001464844,Georgia qsr-only sparse chain signal,needs_fetch
Lake City,GA,1,2,0,0,0,0,0,qsr,qsr,Burger King,Burger King,5141 Jonesboro Rd,33.61534118652344,-84.35016632080078,Georgia qsr-only sparse chain signal,needs_fetch
Lexington,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,643 Athens Rd,33.87851333618164,-83.11909484863281,Georgia qsr-only sparse chain signal,needs_fetch
Lizella,GA,1,1,0,0,0,0,0,qsr,qsr,Wendy's,Sugar Bear #1,6333 Marshall Mill Rd,32.75871658325195,-83.84827423095703,Georgia qsr-only sparse chain signal,needs_fetch
Louisville,GA,1,1,0,0,0,0,0,qsr,qsr,McDonald's,McDonald's,204 US Highway 1 North Byp,33.01103973388672,-82.39928436279297,Georgia qsr-only sparse chain signal,needs_fetch
Martinez,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,433 S Belair Rd,33.48369598388672,-82.13267517089844,Georgia qsr-only sparse chain signal,needs_fetch
Moody Afb,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,904 Moody Rd Building 904,30.973766326904297,-83.20841979980469,Georgia qsr-only sparse chain signal,needs_fetch
Nahunta,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,13200 W Cleveland St,31.201276779174805,-81.99048614501953,Georgia qsr-only sparse chain signal,needs_fetch
Register,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,2925 US-301,32.30365753173828,-81.87124633789062,Georgia qsr-only sparse chain signal,needs_fetch
Riceboro,GA,1,1,0,0,0,0,0,qsr,qsr,McDonald's,McDonald's,35 Montague St,31.651586532592773,-81.39293670654297,Georgia qsr-only sparse chain signal,needs_fetch
Robins Afb,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,982 Macon St,32.599369049072266,-83.58568572998047,Georgia qsr-only sparse chain signal,needs_fetch
Springfield,GA,1,2,0,0,0,0,0,qsr,qsr,Taco Bell,Taco Bell,1262 Hwy 21 S,32.35068130493164,-81.29642486572266,Georgia qsr-only sparse chain signal,needs_fetch
Unadilla,GA,1,2,0,0,0,0,0,qsr,qsr,Burger King,Burger King,675 Pine St.,32.24628829956055,-83.74593353271484,Georgia qsr-only sparse chain signal,needs_fetch
Zebulon,GA,1,1,0,0,0,0,0,qsr,qsr,Burger King,Burger King,9215 US-19,33.11311340332031,-84.33935546875,Georgia qsr-only sparse chain signal,needs_fetch
