"stratum","state","run_slug","target_id","primary_city","settlement_size_proxy","seed_facility_id","seed_facility_name","local_minimum_stack_class","depth_review_status","anchor_review_status","source_gate_status","final_denominator_class","final_class_source","denominator_eligibility","postal_only_numerator_eligibility","evidence_summary","claim_boundary"
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-centennial-db8e2c4b6f","Centennial","under_2500","osm:way:855207199","Centennial Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-cheyenne-main-42bc384548","Cheyenne Main","50000_plus","osm:way:232097155","Cheyenne Main","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-devils-tower-2b647cad84","Devils Tower","2500_to_9999","osm:node:3990884467","Devils Tower Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-downtown-d843f7ed9b","Downtown","10000_to_49999","osm:node:5924959685","Downtown Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-fairview-c3a3697e9e","Fairview","10000_to_49999","osm:way:369613391","Fairview Post Office","postal_only_candidate","postal_only_depth_candidate_survives_with_nearby_outside_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Way lists nearby Afton gas stations, but Census-geocoded Afton addresses fall outside the Fairview scoped target box; no inside-box everyday-service contradiction was found in this batch.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-fedex-ship-center-2a4f6d3fd4","FedEx Ship Center","50000_plus","osm:way:367692960","FedEx Ship Center","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-fedex-ship-center-aa59f01bf8","FedEx Ship Center","10000_to_49999","osm:way:503460647","FedEx Ship Center","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-fedex-ship-center-cffd1b3430","FedEx Ship Center","10000_to_49999","osm:node:11406562812","FedEx Ship Center","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-fort-bridger-8920c21878","Fort Bridger","2500_to_9999","osm:way:560399335","Fort Bridger Post Office","postal_only_candidate","postal_only_depth_candidate_survives_with_nearby_outside_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","TA/Shell at I-80 Exit 30 Bigelow Road is a real nearby gas, food, c-store, and laundry/service context, but its embedded map coordinate is west of the Fort Bridger scoped target box.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-freedom-f474b81b17","Freedom","10000_to_49999","osm:node:2014234853","Freedom Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-gillette-ea67d0f83b","Gillette","10000_to_49999","osm:way:267298949","Gillette Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-glendo-53a4a63bbd","Glendo","under_2500","osm:node:13926352601","Glendo Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-grant-village-d820af642d","Grant Village","under_2500","osm:way:106349084","Grant Village Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-grover-331d92f06e","Grover","10000_to_49999","osm:node:8309050144","Grover Post Office","postal_only_candidate","postal_only_depth_candidate_survives_with_nearby_outside_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Way lists nearby Afton gas stations, but Census-geocoded Afton addresses fall south of the Grover scoped target box; no inside-box everyday-service contradiction was found in this batch.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-guernsey-bd2c0c26fe","Guernsey","under_2500","osm:way:1275002896","Guernsey Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-hartville-805f814baf","Hartville","under_2500","osm:node:13926365201","Hartville Post Office","postal_only_candidate","postal_only_candidate_rejected_for_inside_food_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Miners and Stockmen’s Steakhouse & Spirits is an active Hartville food-service source; the address/street geocode basis falls inside the Hartville scoped target box.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-hillsdale-wy-82060-0af4b2594d","Hillsdale, WY 82060","2500_to_9999","osm:way:722732347","Hillsdale, WY Post Office 82060","postal_only_candidate","postal_only_depth_candidate_survives_with_nearby_outside_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","TA Cheyenne/Burns is a real nearby fuel, food, and laundry/service context, but Census geocoding places it outside the Hillsdale scoped target box; no inside-box everyday-service contradiction was found in this batch.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-la-barge-5e857e318b","LA Barge","under_2500","osm:node:12947510587","LA Barge Post Office","postal_only_candidate","postal_only_candidate_rejected_for_inside_everyday_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Sinclair/Dry Creek Station at 292 N Alpine Dr is an active La Barge gas, convenience, deli, and quick-service source; the address geocode basis falls inside the La Barge scoped target box.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-lake-outlet-af3d277c4e","Lake Outlet","under_2500","osm:node:356511270","Lake Outlet Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-lance-creek-c289a27ccf","Lance Creek","under_2500","osm:way:854581524","Lance Creek Post Office","postal_only_candidate","postal_only_depth_candidate_survives_with_nearby_outside_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","3 Sisters in Manville is a real nearby gas, convenience, and restaurant context, but its coordinate basis is south of the Lance Creek scoped target box; no inside-box everyday-service contradiction was found in this batch.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-lander-698949382b","Lander","2500_to_9999","osm:way:273824867","Lander Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-laramie-23c310eec4","Laramie","10000_to_49999","osm:way:404144851","Laramie Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-lusk-0f27ff42ff","Lusk","under_2500","osm:way:1271800332","Lusk Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-lyman-1d1e3a25dd","Lyman","under_2500","osm:way:560399263","Lyman Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-mail-boxes-etc-3c204459de","Mail Boxes Etc.","10000_to_49999","osm:node:8758186179","Mail Boxes Etc.","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-mail-boxes-etc-9b5c5b7976","Mail Boxes Etc.","10000_to_49999","osm:node:8758162575","Mail Boxes Etc.","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-mammoth-springs-73eb6980b8","Mammoth Springs","under_2500","osm:way:24245610","Mammoth Springs Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-manville-d10b6af109","Manville","under_2500","osm:node:13926350502","Manville Post Office","postal_only_candidate","postal_only_candidate_rejected_for_inside_everyday_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","3 Sisters Truck Stop / Restaurant is an active Manville gas, convenience, deli, and restaurant source; Census and Nominatim coordinate bases fall inside the Manville scoped target box.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-mckinley-01b99ec89a","McKinley","2500_to_9999","osm:node:356502552","McKinley Post Office","postal_only_candidate","","source_gated","explicit_exclusion_unresolved_current_anchor","source_gated_anchor_exclusion","source_gated_anchor_treatment","excluded_current_anchor_not_confirmed","not_eligible_denominator_excluded","Open-source review found historical/geographic McKinley Post Office references inside the target box, including DPLA/TopoQuest-style location records, but no current USPS location page or equivalent current postal-anchor source was found for McKinley WY. Treat as unresolved current anchor, not a numerator candidate.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-meriden-2c2d68f793","Meriden","10000_to_49999","osm:way:1429651047","Meriden Post Office","postal_only_candidate","","source_gated","explicit_exclusion_current_anchor_discontinued","source_gated_anchor_exclusion","source_gated_anchor_treatment","excluded_current_anchor_discontinued","not_eligible_denominator_excluded","USPS Postal Bulletin 22326 records Meriden WY 82081 as a discontinued Post Office with ZIP retained and Meriden established as a place name effective 2011-10-15; the FCC legacy license coordinate is historical support only and is not a current postal anchor.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-meriden-3054b987cf","Meriden","10000_to_49999","osm:node:356511262","Meriden Post Office","postal_only_candidate","","source_gated","explicit_exclusion_current_anchor_discontinued","source_gated_anchor_exclusion","source_gated_anchor_treatment","excluded_current_anchor_discontinued","not_eligible_denominator_excluded","USPS Postal Bulletin 22326 records Meriden WY 82081 as a discontinued Post Office with ZIP retained and Meriden established as a place name effective 2011-10-15; the FCC legacy license coordinate is historical support only and is not a current postal anchor.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-moose-551eaac571","Moose","10000_to_49999","osm:node:2672472385","Moose Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-moose-fb4a47a95a","Moose","10000_to_49999","osm:way:325323696","Moose Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-moosely-mail-52cbd0a071","Moosely Mail","under_2500","osm:way:395862327","Moosely Mail","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-newcastle-0aeb551b79","Newcastle","2500_to_9999","osm:way:680220068","Newcastle Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-osage-bcbd9997e3","Osage","2500_to_9999","osm:node:12113274738","Osage Post Office","postal_only_candidate","postal_only_depth_candidate_survives_with_nearby_outside_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Newcastle Sinclair and Maverik are real nearby fuel/convenience/food contexts, but Census-geocoded Newcastle addresses fall outside the Osage scoped target box; no inside-box everyday-service contradiction was found in this batch.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-pinedale-ae0490e7c8","Pinedale","under_2500","osm:node:3766409947","Pinedale Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-postal-service-0292d86b85","Postal Service","under_2500","osm:way:1003833978","United States Postal Service","postal_only_candidate","postal_only_depth_candidate_survives_with_nearby_outside_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","Riverton gas/convenience/food sources are real nearby service context, but Census-geocoded Riverton addresses fall outside the Pavillion scoped target box; no inside-box everyday-service contradiction was found in this batch.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-postal-service-6f8bed97c6","Postal Service","under_2500","osm:way:751793150","United States Postal Service","postal_only_candidate","postal_only_candidate_rejected_for_inside_everyday_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Hanna grocery evidence is inside the scoped target box, including Hanna Grocery at 1002 Jade Dr by Census geocode and corroborating Hanna Hometown Market context.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-postal-service-85770420d7","Postal Service","under_2500","osm:way:1058960746","United States Postal Service","postal_only_candidate","","source_gated","explicit_exclusion_current_anchor_outside_box","source_gated_anchor_exclusion","source_gated_anchor_treatment","excluded_current_anchor_outside_box","not_eligible_denominator_excluded","USPS confirms Kaycee Post Office at 352 Nolan Ave Kaycee WY 82639, but Census geocoding places that current address at 43.710894908401,-106.639250015168, outside this generic Kaycee-CCD-context target box of 43.5717..43.6417 latitude and -106.2428..-106.1528 longitude.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-postal-service-921796525a","Postal Service","under_2500","osm:way:1202448261","United States Postal Service","postal_only_candidate","postal_only_candidate_rejected_for_inside_food_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Town of Sinclair lists Su Casa Cafe/Restaurant in the Sinclair business directory, and the Lincoln Avenue coordinate basis falls inside the Sinclair scoped target box; truckstop evidence is supportive but less precise.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-postal-service-c5bdf32860","Postal Service","under_2500","osm:way:1236873366","United States Postal Service","postal_only_candidate","postal_only_candidate_rejected_for_inside_everyday_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Conoco Shepards and Cowboy Inn evidence places gas/convenience and food-service context inside the Baggs scoped target box.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-postal-service-e23816a429","Postal Service","10000_to_49999","osm:node:8951916454","United States Postal Service","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-postal-service-e9a2086c00","Postal Service","10000_to_49999","osm:way:497969447","United States Postal Service","postal_only_candidate","postal_only_candidate_rejected_for_inside_food_drink_service","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Arvada Bar at 14 Railway St geocodes inside the Arvada scoped target box, so the row is excluded from postal-only numerator treatment by current inside-box food/drink service evidence.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
